product_id,product_name,category,price,cost,created_at
132,Material Strong,Home & Garden,357.62,257.16,2025-05-21T04:00:29.726097
133,Should Argue,Toys,981.33,270.43,2024-03-26T13:42:51.669090
134,Mission Expect,Electronics,728.0250000000001,485.35,2024-01-03T11:05:53.425362
135,Raise Trouble,Clothing,584.77,491.86,2024-11-02T05:07:19.424481
136,Station Son,Electronics,330.165,220.11,2024-09-13T21:39:51.978488
137,Computer Later,Toys,788.55,221.01,2024-11-16T04:13:20.513758
138,Certainly Hot,Books,675.375,450.25,2025-02-08T17:09:38.700011
139,Able Thousand,Clothing,533.7750000000001,355.85,2025-10-27T07:52:42.017983
140,Then Collection,Electronics,524.71,404.22,2023-12-31T00:32:19.414754
141,Among Election,Toys,722.23,372.27,2025-05-20T02:13:13.811090
142,Cut Support,Toys,327.735,218.49,2024-12-26T06:56:05.697908
143,Heavy Protect,Toys,921.55,313.46,2025-08-30T14:56:54.673711
144,Take Yet,Toys,849.53,361.28,2024-10-10T17:21:00.181644
145,Stuff Everybody,Home & Garden,512.04,335.11,2025-11-10T21:03:52.184148
146,Shoulder Avoid,Home & Garden,408.37,151.35,2024-07-14T11:16:58.284625
147,Line Example,Clothing,501.21,334.14,2024-08-07T02:11:33.045539
148,Mention Race,Sports,680.53,451.89,2025-02-21T03:36:11.026864
149,Body Necessary,Books,573.4,206.01,2025-10-26T20:44:43.332186
150,People Say,Electronics,310.83,109.04,2025-07-05T11:13:22.942910
151,Respond Memory,Books,610.58,164.51,2025-06-19T18:04:07.736517
152,This Number,Sports,447.73,110.78,2025-05-21T04:08:56.153813
153,Thousand Piece,Sports,795.79,480.12,2025-07-19T17:24:55.866927
154,Even Place,Toys,177.98,46.97,2025-10-18T12:35:40.818035
155,Move Late,Books,667.21,311.53,2024-01-15T01:28:51.050169
156,Sister Pressure,Electronics,820.23,376.81,2025-09-30T03:39:58.778200
157,Teach Former,Toys,606.375,404.25,2023-12-31T07:46:22.607127
158,Father Picture,Clothing,189.3,126.2,2025-05-16T21:17:18.327696
159,Recently Despite,Sports,615.15,385.4,2024-04-03T08:21:15.737280
160,Keep Stage,Sports,420.29,316.73,2025-09-18T05:00:50.951306
161,Fine Direction,Clothing,721.15,195.07,2024-03-23T03:00:39.497084
162,Skill Doctor,Sports,494.625,329.75,2025-12-02T10:09:38.952041
163,Even Walk,Electronics,893.72,430.92,2024-09-24T06:17:50.491947
164,Case Blood,Electronics,780.63,113.33,2024-04-13T14:15:01.676689
165,Official Pay,Toys,522.77,29.86,2025-05-18T02:53:25.052609
166,Up None,Clothing,918.29,65.07,2025-07-31T09:42:35.608131
167,Bad Recent,Clothing,803.39,335.45,2025-09-14T06:52:54.296086
168,Body Girl,Books,599.49,475.27,2025-03-14T20:38:07.168345
169,Or Worker,Sports,616.52,361.04,2024-08-24T21:29:06.078686
170,Enter Admit,Books,680.835,453.89,2023-12-23T22:18:54.606779
171,Baby Court,Sports,898.23,373.11,2025-05-04T08:43:30.855676
172,Leave Site,Sports,455.56,377.13,2025-05-14T13:23:24.715436
173,Wide Type,Toys,584.925,389.95,2024-04-18T06:27:42.252412
174,Where Data,Sports,630.47,140.93,2025-08-08T11:14:11.584181
175,Nice Score,Electronics,716.4,121.07,2025-10-19T15:20:13.500691
176,Wrong Modern,Home & Garden,326.5,272.38,2024-07-27T05:08:54.363032
177,The Visit,Clothing,291.9,194.6,2025-10-29T15:56:01.501653
178,Color Growth,Clothing,709.34,36.79,2024-10-06T10:49:14.062158
179,Main Skin,Sports,337.56,235.63,2024-12-23T02:49:55.530351
180,Million Attack,Electronics,214.76,212.97,2025-08-30T20:07:27.378936
181,Staff More,Books,946.59,14.67,2025-01-08T10:28:48.534461
182,When Career,Books,386.57,7.92,2024-05-18T17:10:47.518151
183,Never Question,Home & Garden,305.62,198.04,2025-01-22T19:30:40.012437
184,Meeting Article,Sports,542.83,368.64,2024-08-17T21:04:12.805301
185,Office Thus,Books,898.82,246.67,2024-07-19T20:59:26.584214
186,Important Nearly,Home & Garden,441.47,19.37,2024-01-26T02:06:12.780848
187,Save Ball,Home & Garden,672.17,400.08,2025-12-11T06:06:54.035296
188,Decision Save,Toys,354.54,236.36,2025-06-01T07:50:21.776288
189,Parent Quality,Clothing,980.9,269.39,2024-09-16T06:42:41.766354
190,Follow Manage,Sports,595.96,333.18,2025-06-19T01:05:41.155705
191,Paper Place,Electronics,646.31,72.17,2025-01-15T19:58:46.850267
192,True Experience,Sports,189.9,133.78,2024-10-01T20:46:53.742594
193,Some Respond,Home & Garden,219.53,166.79,2024-08-14T00:50:46.851515
194,Later Right,Sports,713.7750000000001,475.85,2024-11-09T03:33:52.037322
195,Exist Our,Sports,259.74,45.54,2025-07-09T02:20:56.826040
196,Impact Data,Electronics,751.52,30.78,2025-09-26T09:22:45.622458
197,Number Effort,Home & Garden,231.97,38.97,2025-11-29T06:52:22.723714
198,Total Pressure,Toys,49.85,20.36,2025-09-07T18:04:57.848528
199,Light Class,Clothing,207.36,15.09,2024-05-16T00:19:56.499678
200,Summer Call,Clothing,246.15,239.41,2024-01-26T23:28:52.607483
